accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,state
-1.1492168,3.4332852,10.757447,-0.24174993,-0.036651913,-0.3295618,UNKNOWN
-1.9297266,4.831499,7.266701,-0.24174993,-0.036651913,-0.3295618,UNKNOWN
-1.9297266,4.831499,7.266701,0.54137933,1.0396926,0.15363261,UNKNOWN
-3.1196449,4.9012303,7.252336,0.54137933,1.0396926,0.15363261,UNKNOWN
-3.1196449,4.9012303,7.252336,0.3239113,0.70371675,0.10903945,UNKNOWN
-4.1515455,5.303456,8.305785,0.3239113,0.70371675,0.10903945,SIT
-4.1515455,5.303456,8.305785,0.3098614,0.6957755,0.035124753,SIT
-3.5242648,5.332186,7.2714896,0.3098614,0.6957755,0.035124753,SIT
-3.5242648,5.332186,7.2714896,0.016035212,-0.0421497,0.07788532,SIT
-3.667917,5.2292356,7.3720465,0.016035212,-0.0421497,0.07788532,SIT
-3.667917,5.2292356,7.3720465,0.0013744468,-0.12095132,0.049785517,SIT
-3.4620156,5.2364182,7.0655885,0.0013744468,-0.12095132,0.049785517,SIT
-3.4620156,5.2364182,7.0655885,-0.030390546,0.018325957,0.005192355,SIT
-3.7493198,5.1406503,7.352893,-0.030390546,0.018325957,0.005192355,SIT
-3.7493198,5.1406503,7.352893,-0.01450805,0.08246681,-0.08582657,SIT
-3.8283286,5.1286793,7.522881,-0.01450805,0.08246681,-0.08582657,SIT
-3.8283286,5.1286793,7.522881,-0.05971208,0.06291912,-0.07727446,SIT
-3.5913026,5.219659,7.3121915,-0.05971208,0.06291912,-0.07727446,SIT
-3.5913026,5.219659,7.3121915,0.03863723,-0.045814894,0.070554934,SIT
-3.7205894,5.2172647,7.307403,0.03863723,-0.045814894,0.070554934,SIT
-3.7205894,5.2172647,7.307403,-0.0022907446,-0.020158553,0.010079277,SIT
-3.7660792,5.0831895,7.3337393,-0.0022907446,-0.020158553,0.010079277,SIT
-3.7660792,5.0831895,7.3337393,0.013591751,-0.10567969,0.008246681,SIT
-3.359065,5.3226094,7.51091,0.013591751,-0.10567969,0.008246681,SIT
